Year,Month,Day,Hour,Minute,Timestamp,Demand
2020,1,7,9,0,2020-01-07 09:00:00,6098.575073345056
2020,1,7,9,30,2020-01-07 09:30:00,6053.989324255004
2020,1,7,10,0,2020-01-07 10:00:00,6004.338044811246
2020,1,7,10,30,2020-01-07 10:30:00,6004.435509303524
2020,1,7,11,0,2020-01-07 11:00:00,6013.098144024908
2020,1,7,11,30,2020-01-07 11:30:00,6053.656395703895
2020,1,7,12,0,2020-01-07 12:00:00,6094.778739139158
2020,1,7,12,30,2020-01-07 12:30:00,6146.467895338499
2020,1,7,13,0,2020-01-07 13:00:00,6219.505988254044
2020,1,7,13,30,2020-01-07 13:30:00,6299.3680929135735
2020,1,7,14,0,2020-01-07 14:00:00,6361.795797022691
2020,1,7,14,30,2020-01-07 14:30:00,6450.053218121795
2020,1,7,15,0,2020-01-07 15:00:00,6581.590751838556
2020,1,7,15,30,2020-01-07 15:30:00,6744.119951614426
2020,1,7,16,0,2020-01-07 16:00:00,6943.111808361927
2020,1,7,16,30,2020-01-07 16:30:00,7122.176524958073
2020,1,7,17,0,2020-01-07 17:00:00,7225.701455231012
2020,1,7,17,30,2020-01-07 17:30:00,7237.5898163651245
2020,1,7,18,0,2020-01-07 18:00:00,7231.60982031484
2020,1,7,18,30,2020-01-07 18:30:00,7306.579690932238
2020,1,7,19,0,2020-01-07 19:00:00,7344.969234232471
2020,1,7,19,30,2020-01-07 19:30:00,7316.509151245766
2020,1,7,20,0,2020-01-07 20:00:00,7177.503696067581
2020,1,7,20,30,2020-01-07 20:30:00,6953.393457331114
2020,1,7,21,0,2020-01-07 21:00:00,6782.180992543426
2020,1,7,21,30,2020-01-07 21:30:00,6595.103663211276
2020,1,7,22,0,2020-01-07 22:00:00,6412.06416199218
2020,1,7,22,30,2020-01-07 22:30:00,6295.605135228069
2020,1,7,23,0,2020-01-07 23:00:00,6087.525674620258
2020,1,7,23,30,2020-01-07 23:30:00,5855.447472092133
2020,1,8,0,0,2020-01-08 00:00:00,5642.525466966784
2020,1,8,0,30,2020-01-08 00:30:00,5510.1725635108105
2020,1,8,1,0,2020-01-08 01:00:00,5390.300500373386
2020,1,8,1,30,2020-01-08 01:30:00,5311.883094506035
2020,1,8,2,0,2020-01-08 02:00:00,5271.024228774177
2020,1,8,2,30,2020-01-08 02:30:00,5230.37531145753
2020,1,8,3,0,2020-01-08 03:00:00,5215.062957041928
2020,1,8,3,30,2020-01-08 03:30:00,5212.676809908092
2020,1,8,4,0,2020-01-08 04:00:00,5240.7717277311895
2020,1,8,4,30,2020-01-08 04:30:00,5273.569070984144
2020,1,8,5,0,2020-01-08 05:00:00,5342.1903986543575
2020,1,8,5,30,2020-01-08 05:30:00,5429.542430310337
2020,1,8,6,0,2020-01-08 06:00:00,5585.219066036111
2020,1,8,6,30,2020-01-08 06:30:00,5725.085214322161
